dataset,uspto_50k,,,
,,,,
use_rxn_class,TRUE,,,
,,,,
atom_message,FALSE,,,
,,,,
use_attn,TRUE,,,
,,,,
n_heads,8,,,
,,,,
epochs,150,,,
,,,,
mpn_size,256,,,
,,,,
depth,10,,,
,,,,
dropout_mpn,0.15,,,
,,,,
mlp_size,512,,,
,,,,
dropout_mlp,0.2,,,
,,,,
lr,0.001,,,
,,,,
patience,5,,,
,,,,
factor,0.8,,,
,,,,
thresh,0.01,,,
,,,,
max_clip,10,,,
,,,,
print_every,200,,,
,,,,
num_workers,6,,,
,,,,
,,,,
,,,,
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
,,,,
1,0.3793,0.5082,0.8019,0.8262
,,,,
2,0.5169,0.5424,0.8221,0.3944
,,,,
3,0.0004,0.5454,0.8223,0.0002
,,,,
4,0.5431,0.5618,0.8275,0.3495
,,,,
5,0.5647,0.5802,0.8369,0.3266
,,,,
6,0.5752,0.5834,0.8345,0.3098
,,,,
7,0.5879,0.5874,0.8387,0.2987
,,,,
8,0.6006,0.587,0.8427,0.2868
,,,,
9,0.6048,0.6018,0.8449,0.279
,,,,
10,0.6096,0.6144,0.8515,0.2723
,,,,
11,0.6183,0.6166,0.8581,0.2643
,,,,
12,0.6239,0.6076,0.8387,0.2587
,,,,
13,0.6275,0.6116,0.8525,0.2557
,,,,
14,0.6308,0.6174,0.8495,0.251
,,,,
15,0.6353,0.622,0.8569,0.2468
,,,,
16,0.6381,0.6248,0.8515,0.2435
,,,,
17,0.6419,0.6335,0.8601,0.2397
,,,,
18,0.6425,0.6255,0.8615,0.2397
,,,,
19,0.6474,0.6283,0.8543,0.2339
,,,,
20,0.6504,0.623,0.8603,0.2325
,,,,
21,0.6523,0.6365,0.8639,0.2295
,,,,
22,0.6527,0.6325,0.8585,0.229
,,,,
23,0.6549,0.6317,0.8621,0.2264
,,,,
24,0.6563,0.6337,0.8605,0.2254
,,,,
25,0.6582,0.6283,0.8637,0.2262
,,,,
26,0.6563,0.6257,0.8577,0.2236
,,,,
27,0.6587,0.6301,0.8591,0.224
,,,,
28,0.6733,0.6427,0.8657,0.2071
,,,,
29,0.6806,0.6399,0.8677,0.2016
,,,,
30,0.6804,0.6419,0.8615,0.2011
,,,,
31,0.6837,0.6467,0.8623,0.1976
,,,,
32,0.6851,0.6435,0.8669,0.1966
,,,,
33,0.6875,0.6461,0.8703,0.1944
,,,,
34,0.6881,0.6315,0.8559,0.1942
,,,,
35,0.6923,0.6359,0.8623,0.1912
,,,,
36,0.6951,0.6433,0.8677,0.1889
,,,,
37,0.6958,0.6485,0.8671,0.1873
,,,,
38,0.7088,0.6541,0.8711,0.1767
,,,,
39,0.7167,0.6455,0.8687,0.17
,,,,
40,0.7174,0.6447,0.8603,0.1697
,,,,
41,0.7213,0.6395,0.8629,0.1666
,,,,
42,0.7251,0.6495,0.8669,0.1633
,,,,
43,0.7264,0.6495,0.8701,0.1625
,,,,
44,0.7414,0.6571,0.8741,0.1499
,,,,
45,0.7451,0.6491,0.8671,0.1468
,,,,
46,0.7538,0.6563,0.8699,0.1434
,,,,
47,0.7525,0.6541,0.8711,0.1422
,,,,
48,0.7537,0.6559,0.8721,0.1416
,,,,
49,0.7587,0.6505,0.8669,0.1374
,,,,
50,0.7613,0.6523,0.8707,0.1345
,,,,
51,0.7735,0.6593,0.8703,0.1269
,,,,
52,0.778,0.6553,0.8735,0.1233
,,,,
53,0.7846,0.6517,0.8697,0.1201
,,,,
54,0.7883,0.6539,0.8709,0.1179
,,,,
55,0.7902,0.6597,0.8709,0.1166
,,,,
56,0.7911,0.6565,0.8727,0.1141
,,,,
57,0.8066,0.6595,0.8709,0.1069
,,,,
58,0.8084,0.6603,0.8705,0.105
,,,,
59,0.8113,0.6555,0.8663,0.1019
,,,,
